N,DH39,DH68,DH95,DH99,RH95,RH99,DZ68,DZ95,DZ99,RZ95,RZ99,AREA,A_N_DH39,A_N_DH68,E39,E90,E95,
55,0.0261384097602426,0.0570209898743206,0.115991122192236,0.170720814619358,2.03418289384121,2.99399949028668,0.374926949233893,1.04005883024694,1.47981380050225,2.77403060082009,3.94693900645453,26.9385863068267,18.7384191616328,8.58968740082357,0.45,0.8,0.9,
56,0.0238909936509658,0.0517964513413043,0.091508314170038,0.121835886561474,1.76669080217598,2.35220528446352,0.372538878604632,1.22976501987839,1.79852403434119,3.3010380674483,4.82774855896295,26.711110563127,19.9650179547645,9.20881845854047,0.44,0.94,0.97,
57,0.0236162149229564,0.0487879244475705,0.0838267703467645,0.112186608193955,1.7181868525038,2.29947491032367,0.286529247981129,1.14061982474359,1.9158902621391,3.98081463857648,6.68654343540274,26.33136542015,19.5608729344613,9.46860897510228,0.44,0.9,0.94,
58,0.0243205421615101,0.0397864098069385,0.0930726443997902,0.14669704306925,2.33930743817852,3.68711436344947,0.242546303726437,1.15086581572877,1.97208080046882,4.74493240279105,8.13073945127233,26.4769857067615,18.77013063826,11.4737609093154,0.46,0.91,0.94,
59,0.0236503996179327,0.0488343252792211,0.0817821333718147,0.141953437501387,1.67468543702011,2.90683728483473,0.422665361878145,1.26698862996506,1.51967915663249,2.99761642244612,3.59546651724589,26.3471342240959,18.8817780770171,9.14442033273236,0.43,0.89,0.93,
60,0.0186597989396001,0.03838215962411,0.0867593118564306,0.101657177715797,2.26040724925578,2.64855283578,0.318394732810532,1.24055588616265,1.78215929770615,3.8962826903951,5.5973265699928,26.4144779891546,23.5930355543627,11.4699460408346,0.49,0.93,0.99,
61,0.0236379663437745,0.0468433172976331,0.0920752077524353,0.122637334520806,1.96559964289907,2.61803265856671,0.372536091817028,1.19296237350963,1.6285326327483,3.20227328227719,4.37147612948106,27.4655584645177,19.0479608206209,9.61193789787646,0.39,0.94,0.96,
62,0.0267397546641293,0.0492451953945268,0.114082884212794,0.141745617779753,2.31662974019742,2.87836440985077,0.382841924785384,1.05308903639338,1.44927149844687,2.7507150294047,3.7855611013849,27.307414416271,16.4714363888766,8.94386070510593,0.45,0.82,0.88,
63,0.0279893779297753,0.0529110681621454,0.112042377122155,0.156119258228823,2.11756029530159,2.95059736368196,0.465249282142327,1.11113531283313,1.50314534112435,2.38825798444374,3.23083860377566,27.7012432031975,15.709612202523,8.31021350238411,0.4,0.87,0.91,
64,0.0226788837402357,0.0448081199493649,0.0933887623160564,0.128319380870674,2.08419282981722,2.86375284246873,0.383038774909248,1.19348639724017,1.41579908076577,3.1158370259589,3.69622913790181,26.3883234938168,18.180681170801,9.2018490188123,0.37,0.87,0.92,
65,0.0220611211977013,0.043330846356646,0.0910590741435429,0.141136694677503,2.10148385734396,3.25718758216352,0.33832173867601,1.46097877892588,2.47952881625075,4.31831186681436,7.32890776086144,26.808398427052,18.695192106587,9.51832086276489,0.44,0.9,0.92,
66,0.0172739805457596,0.0396552576030486,0.0858005587114579,0.137552102615717,2.16366161507073,3.46869774476367,0.427888164594976,1.20822615864825,1.51139803901288,2.82369613983578,3.53222679211872,27.682345118592,24.2809970974976,10.5768943854137,0.41,0.91,0.94,
67,0.0181588138440542,0.0431403264634781,0.0944353412875302,0.122324276679395,2.18902704335067,2.8354972413793,0.428051812062536,0.918442253514766,1.30117415584624,2.14563337342113,3.0397585506685,27.1966863847884,22.3539211204143,9.40930970130513,0.32,0.85,0.93,
68,0.0193722060545682,0.0410622950461264,0.0930106639414573,0.15340799752899,2.26511118867019,3.73598205742428,0.58136245903887,1.14495033376543,1.64261016699903,1.96942598539697,2.82544932418693,26.5170078527197,20.1296639492515,9.49669270546288,0.43,0.87,0.92,
69,0.0171849690953372,0.0349576945700589,0.0752700629293103,0.127736300520746,2.15317582738362,3.65402530377823,0.195264255896887,0.968208776925512,1.27571388387891,4.9584537245608,6.53326886694803,26.9451918959429,22.7239295753747,11.1709319587655,0.5,0.94,0.96,
70,0.0171066875868558,0.032606314329638,0.0694302107192794,0.0926362374596548,2.12934862914481,2.84105208957799,0.497750480483579,1.3104217641315,1.67216740287208,2.63268809476264,3.35944909836656,26.6390690561601,22.2461611835434,11.6713016235571,0.45,0.91,0.94,
